Virtus.pro,1883502
Team Liquid,2163
PSG.LGD,15
Team Secret,1838315
Mineski,543897
Vici Gaming,726228
Newbee,1375614
VGJ.Thunder,5027210
OG,2586976
Winstrike Team,5229127
Team Serenity,5066616
Invictus Gaming,5
Fnatic,350190
TNC.Predator,2108395
VGJ.Storm,5228654
Evil Genius,39
OpTic Gaming,5026801
paiN Gaming,67
